Comment,Designator,Footprint,LCSC
1nF,"C38,C39",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C1588
220,"R4,R5",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C22962
10K,"R6,R7",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C25804
XL-5050RGBC-WS2812B,"LED1,LED10,LED11,LED12,LED13,LED14,LED15,LED16,LED17,LED18,LED19,LED2,LED20,LED21,LED22,LED23,LED24,LED25,LED26,LED27,LED28,LED29,LED3,LED30,LED4,LED5,LED6,LED7,LED8,LED9",LED-SMD_4P-L5.0-W5.0-BL_XL-5050RGBC,C2843785
U262-161N-4BVC11,U3,USB-3.1-SMD_U262-161N-4BVC11,C319148
SN74AHCT32QPWRQ1,U6,TSSOP-14_L5.0-W4.4-P0.65-LS6.5-BL,C507218
BL1117-33CX,U4,SOT-223-4_L6.5-W3.5-P2.30-LS7.0-BR,C5400
UMH3N,U5,SC-70-6_L2.2-W1.3-P0.65-LS2.1-BR,C62892
CP2102-GMR,U2,QFN-28_L5.0-W5.0-P0.50-BL-EP,C6568
ESP32-WROOM-32E,U1,WIFI-SMD_ESP32-WROOM-32E,C701341
0.1uF,C32,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
62,R1,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
5.1K,R2,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
0.1uF,C28,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
BSMD1812-300-16V,F1,F1812,
0.1uF,C26,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
0.1uF,C2,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
0.1uF,C25,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
0.1uF,C23,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
10uF,C14,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
0.1uF,C34,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
0.1uF,C18,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
0.1uF,C30,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
0.1uF,C8,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
0.1uF,C35,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
0.1uF,C19,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
0.1uF,C11,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
0.1uF,C22,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
0.1uF,C29,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
220uF,C16,C_Elec_6.3x5.4,
0.1uF,C37,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
0.1uF,C5,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
0.1uF,C31,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
0.1uF,C24,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
0.1uF,C9,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
5.1K,R3,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
0.1uF,C36,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
0.1uF,C27,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
0.1uF,C4,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
0.1uF,C3,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
0.1uF,C6,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
0.1uF,C7,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
10uF,C15,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
0.1uF,C10,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
0.1uF,C20,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
0.1uF,C1,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
0.1uF,C12,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
0.1uF,C33,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
0.1uF,C17,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
0.1uF,C21,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
